time,source,sink
1739,110.8,36.9
1740,110.8,36.9
1741,110.7,36.9
1742,110.7,36.9
1743,110.7,37.1
1744,110.8,37.2
1745,110.9,37.2
1746,110.8,37.1
1747,110.7,37
1748,110.7,37
1749,110.8,37
1750,110.9,37
1751,111,37
1752,111,37
1753,110.9,37.1
1754,110.9,37.1
1755,110.9,37.1
1756,110.8,37.1
1757,110.7,37.1
1758,110.7,37.2
1759,111,37.2
1760,111.2,37.3
1761,111.2,37.3
1762,111,37.4
1763,111.2,37.2
1764,111.1,37.2
1765,111,37.2
1766,111.2,37
1767,111.1,37
1768,111.2,36.9
1769,111.4,37
1770,111.4,36.9
1771,111.4,36.9
1772,111.3,36.9
1773,111.2,36.7
1774,111.4,36.6
1775,111.5,36.6
1776,111.2,36.7
1777,111.1,36.8
1778,111,36.9
1779,111.1,36.9
1780,111.2,36.9
1781,111.2,36.9
1782,111.1,36.9
1783,111.1,36.9
1784,111.2,36.9
1785,111.2,36.9
1786,111.2,37
1787,111.2,37
1788,111.3,37
1789,111.2,37
1790,111.1,37.1
1791,111.1,37.1
1792,111.1,37.2
1793,111.1,37.2
1794,111,37.2
1795,111,37.1
1796,111.1,37
1797,111.3,37
1798,111.5,37
1799,111.4,37
1800,111.6,37
1801,111.7,37
1802,111.7,36.9
1803,111.7,36.9
1804,111.7,36.9
1805,111.7,37
1806,111.7,37
1807,112,37.1
1808,111.8,37
1809,111.7,37
1810,111.6,36.9
1811,112,37
1812,111.9,37
1813,112,37
1814,111.9,37
1815,111.7,36.9
1816,111.7,36.8
1817,111.8,36.6
1818,111.7,36.5
1819,111.7,36.6
1820,111.9,36.5
1821,111.9,36.6
1822,111.5,36.7
1823,111.2,36.8
1824,111.2,36.9
1825,111.5,36.8
1826,111.6,36.9
1827,111.3,36.9
1828,111,36.8
1829,111,36.9
1830,111.2,36.8
1831,111.3,36.7
1832,111,36.9
1833,110.8,36.9
1834,110.8,36.9
1835,110.7,36.9
1836,110.9,36.8
1837,110.9,36.7
1838,110.8,36.8
1839,110.6,37
1840,110.3,37.1
1841,110.4,37.2
1842,110.7,37.1
1843,110.8,37
1844,110.8,37
1845,111,36.8
1846,111.2,36.8
1847,111.1,36.7
1848,111.2,36.7
1849,111,36.8
1850,111.1,36.7
1851,111.1,36.7
1852,111.6,36.8
1853,111.5,37
1854,111.2,37.1
1855,111.2,37.2
1856,111.2,37.1
1857,111.3,37
1858,111.3,36.9
1859,111.4,36.7
1860,111.6,36.7
1861,111.1,36.7
1862,110.8,36.9
1863,110.9,37
1864,111.1,36.9
1865,111.1,37
1866,111.1,36.9
1867,111.2,37
1868,111.4,36.9
1869,111.3,36.8
1870,111.1,36.8
1871,111.1,36.8
1872,110.9,36.9
1873,110.8,37
1874,110.7,37.1
1875,110.6,37.1
1876,110.4,37.1
1877,110.6,37.1
1878,110.6,37.2
1879,110.8,37.1
1880,110.9,37.2
1881,111.2,37.2
1882,111.3,37.4
1883,111.3,37.3
1884,111.1,37.5
1885,111.1,37.4
1886,111,37.3
1887,110.9,37.2
1888,110.9,37.3
1889,111.1,37.3
1890,111.1,37.3
1891,111.1,37.2
1892,111.2,37.3
1893,111.1,37.3
